clip_id,start_time,end_time,change,decision
0,0.0000,0.5000,,WAIT
1,0.5000,1.0000,0.005525,SILENCE
2,1.0000,1.5000,0.005839,SILENCE
3,1.5000,2.0000,0.002686,SILENCE
4,2.0000,2.5000,0.001272,SILENCE
5,2.5000,3.0000,0.001228,SILENCE
6,3.0000,3.5000,0.003964,SILENCE
7,3.5000,4.0000,0.004144,SILENCE
8,4.0000,4.5000,0.009256,SILENCE
9,4.5000,5.0000,0.009918,SILENCE
10,5.0000,5.5000,0.010631,WAIT
11,5.5000,6.0000,0.011325,WAIT
12,6.0000,6.5000,0.028402,SUSPICIOUS
13,6.5000,7.0000,0.013643,SUSPICIOUS
14,7.0000,7.5000,0.023090,SUSPICIOUS
15,7.5000,8.0000,0.009130,SILENCE
16,8.0000,8.5000,0.014475,SUSPICIOUS
17,8.5000,8.9000,0.004572,SILENCE
