clip_id,start_time,end_time,change,deviation,decision,prototype_ready
0,0.0000,0.5000,,,WAIT,False
1,0.5000,1.0000,0.000147,,WAIT,False
2,1.0000,1.5000,0.000031,,WAIT,False
3,1.5000,2.0000,0.000112,0.000065,WAIT,True
4,2.0000,2.5000,0.000542,0.000619,SILENCE,True
5,2.5000,3.0000,0.000399,0.000271,SILENCE,True
6,3.0000,3.5000,0.000123,0.000289,SILENCE,True
7,3.5000,4.0000,0.000054,0.000230,SILENCE,True
8,4.0000,4.5000,0.000233,0.000260,SILENCE,True
9,4.5000,5.0000,0.000112,0.000230,SILENCE,True
10,5.0000,5.5000,0.000171,0.000358,SILENCE,True
11,5.5000,6.0000,0.000854,0.001028,SILENCE,True
12,6.0000,6.5000,0.003138,0.003771,SILENCE,True
13,6.5000,7.0000,0.005194,0.002490,SILENCE,True
14,7.0000,7.5000,0.002095,0.001168,SILENCE,True
15,7.5000,8.0000,0.001011,0.000734,SILENCE,True
16,8.0000,8.5000,0.000775,0.000831,SILENCE,True
17,8.5000,9.0000,0.000656,0.000467,SILENCE,True
18,9.0000,9.5000,0.000439,0.000459,SILENCE,True
19,9.5000,10.0000,0.000410,0.000661,SILENCE,True
20,10.0000,10.5000,0.000403,0.000925,SILENCE,True
21,10.5000,11.0000,0.000231,0.001261,SILENCE,True
22,11.0000,11.5000,0.000231,0.001766,SILENCE,True
23,11.5000,12.0000,0.000382,0.002198,SILENCE,True
24,12.0000,12.5000,0.000165,0.002351,SILENCE,True
25,12.5000,13.0000,0.000069,0.002121,SILENCE,True
26,13.0000,13.5000,0.000067,0.001944,SILENCE,True
27,13.5000,14.0000,0.000063,0.001638,SILENCE,True
28,14.0000,14.5000,0.000229,0.001501,SILENCE,True
29,14.5000,15.0000,0.000067,0.001255,SILENCE,True
30,15.0000,15.5000,0.000040,0.001009,SILENCE,True
31,15.5000,16.0000,0.000049,0.000780,SILENCE,True
32,16.0000,16.5000,0.000084,0.000671,SILENCE,True
33,16.5000,17.0000,0.000084,0.000542,SILENCE,True
34,17.0000,17.2333,0.000086,0.000468,SILENCE,True
